raceId,tempmax,tempmin,temp,dew,humidity,precip,snow,snowdepth,windspeed,winddir,pressure,cloudcover,visibility
860,69.5,51.3,61.3,53.5,77.1,0.004,0,0,13.8,172.4,1024,52.8,10.6
861,89.6,77,80.6,76.5,87.8,0.118,0,0,16.1,331.7,1010.4,88.6,5.8
862,69.5,55.4,61.1,50.7,69.8,0.004,0,0,9.2,139.2,1011.9,53.6,6.8
863,83.5,70.9,77.5,52.2,42.3,0,0,0,21,327.5,1009.5,23.5,5.5
864,73.3,64.1,68.3,59.8,74.6,0.068,0,0,14.1,114.6,1019.5,47.1,7.8
865,69.7,61.8,65.2,57.6,76.9,0.126,0,0,14.2,11.2,1017,64.7,12.4
866,79.2,57.7,70,48.3,48.7,0,0,0,4.7,95.6,1017.7,9.6,11.7
867,85.6,68.3,77.6,62.7,62.1,0,0,0,15,96.8,1020.7,7.8,9.7
868,65.2,55.3,59.3,56,89.4,0.173,0,0,10.2,350.8,1006,57.8,8.6
869,69.8,46.4,60,46,63.6,0.004,0,0,8.9,22.6,1026.3,24.6,6.5
870,91.1,66.4,76.6,65.1,70.4,0.059,0,0,15.7,356.3,1010.7,64.7,10
871,65.3,44.3,54.6,45.8,74.1,0,0,0,7.2,210.9,1025.9,7.3,15.6
872,83.6,61.9,72.1,59.4,67.3,0,0,0,4.4,251.6,1018,12.4,6.1
873,91.2,78.6,84.4,75.6,76.1,0,0,0,10.5,201.4,1009.2,86.3,5.5
874,78.1,62.2,69.1,55.9,64.5,0.049,0,0,10.6,317.5,1015.9,27,11.7
875,71.6,55.4,62.5,52.9,71.5,0,0,0,13.7,12.7,1018.2,23.3,4.8
876,84.5,60.9,71,54.3,59.4,0,0,0,6.9,280,1014.9,0,0.6
877,90.8,72.4,81.5,64.9,59.3,0.004,0,0,15.6,7.3,1013,10,6.3
878,73.7,38,55.5,42.3,64.8,0,0,0,13.2,164.5,1024.3,37.4,9.7
879,71.6,63,66.7,60.4,80.7,0,0,0,15.2,157.1,1016.6,95.9,4.5
881,91.1,78.8,83.5,75.7,78,0.006,0,0,6.9,354.4,1008.6,89,6.4
880,62.6,51,56.5,45.3,67.3,0.29,0,0,22.1,193.6,1022.6,82.1,9.5
882,82.5,55.1,66.6,44.2,46.6,0,0,0,20.3,261.3,1010.9,33.7,6.8
883,92.4,75.9,81.7,52.9,38.3,0,0,0,23.1,329.8,1004,14.7,6.1
884,66.3,57.2,61.2,51.4,71,0.023,0,0,13.7,138.9,1020.8,61.3,7.7
885,63.5,50.6,57.9,41.8,55.5,0,0,0,11.9,56.9,1011.7,8.1,24.1
