qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
4966,860,1,1,4,1,01:26.8,01:25.6,01:24.9
4967,860,18,1,3,2,01:26.8,01:25.7,01:25.1
4968,860,154,208,10,3,01:26.5,01:25.8,01:25.3
4969,860,30,131,7,4,01:26.6,01:25.6,01:25.3
4970,860,17,9,2,5,01:27.1,01:26.6,01:25.7
4971,860,20,9,1,6,01:26.8,01:26.0,0.000991528
4972,860,3,131,8,7,01:26.8,01:25.5,0.000991736
4973,860,813,3,18,8,01:26.8,01:26.2,0.000994306
4974,860,807,10,12,9,01:27.5,01:26.3,0.00100059
4975,860,817,5,16,10,01:27.0,01:26.3,\N
4976,860,818,5,17,11,01:26.5,0.001000336,\N
4977,860,4,6,5,12,01:26.7,0.001001088,\N
4978,860,155,15,14,13,01:26.2,0.001002199,\N
4979,860,811,3,19,14,01:27.0,0.001003044,\N
4980,860,814,10,11,15,01:27.5,0.00100794,\N
4981,860,13,6,6,16,01:27.6,0.001012697,\N
4982,860,815,15,15,17,01:26.6,\N,\N
4983,860,8,208,9,18,01:27.8,\N,\N
4984,860,5,207,20,19,01:28.7,\N,\N
4985,860,808,207,21,20,01:29.0,\N,\N
4986,860,10,206,24,21,01:30.9,\N,\N
4987,860,819,206,25,22,01:31.7,\N,\N
4988,860,37,164,22,23,01:33.5,\N,\N
4989,860,39,164,23,24,01:33.6,\N,\N
4990,861,1,1,4,1,01:37.8,01:37.1,01:36.2
4991,861,18,1,3,2,01:37.6,01:36.9,01:36.4
4992,861,30,131,7,3,01:37.5,01:37.0,01:36.4
4993,861,17,9,2,4,01:37.2,01:37.4,01:36.5
4994,861,8,208,9,5,01:38.0,01:36.7,0.001116447
4995,861,20,9,1,6,01:38.1,01:37.4,0.001118449
4996,861,154,208,10,7,01:38.1,01:37.3,0.001118727
4997,861,3,131,8,8,01:37.7,01:37.0,0.001118796
4998,861,4,6,5,9,01:38.2,01:37.4,0.001129236
4999,861,815,15,15,10,01:37.9,01:37.5,0.001130764
5000,861,813,3,18,11,01:37.8,0.001129502,\N
5001,861,13,6,6,12,01:38.4,0.001131146,\N
5002,861,811,3,19,13,01:38.4,0.001132419,\N
5003,861,814,10,11,14,01:38.3,0.001132836,\N
5004,861,817,5,16,15,01:38.4,0.001132905,\N
5005,861,807,10,12,16,01:38.3,0.001132986,\N
5006,861,155,15,14,17,01:38.4,01:38.1,\N
5007,861,818,5,17,18,01:39.1,\N,\N
5008,861,5,207,20,19,01:39.3,\N,\N
5009,861,808,207,21,20,01:39.6,\N,\N
5010,861,10,206,24,21,01:40.9,\N,\N
5011,861,819,206,25,22,01:41.3,\N,\N
5012,861,37,164,22,23,01:42.9,\N,\N
5013,861,39,164,23,24,01:43.7,\N,\N
5014,862,3,131,8,1,01:36.9,01:35.7,01:35.1
5015,862,1,1,4,2,01:36.8,01:35.9,01:35.6
5016,862,30,131,7,3,01:36.8,01:35.8,0.001107535
5017,862,155,15,14,4,01:36.9,01:35.9,0.001108611
5018,862,8,208,9,5,01:36.8,01:35.9,0.001109931
5019,862,18,1,3,6,01:36.7,01:35.9,0.001113322
5020,862,17,9,2,7,01:36.7,01:35.7,0.001114468
5021,862,815,15,15,8,01:36.2,01:35.8,0.001117176
5022,862,4,6,5,9,01:36.3,0.001110903,0.00111831
5023,862,154,208,10,10,01:36.3,0.001109988,\N
5024,862,20,9,1,11,01:36.9,0.00111147,\N
5025,862,13,6,6,12,01:36.6,0.001114063,\N
5026,862,813,3,18,13,01:36.5,0.001114387,\N
5027,862,811,3,19,14,01:36.7,0.001114456,\N
5028,862,814,10,11,15,01:36.6,01:36.3,\N
5029,862,807,10,12,16,01:36.9,01:36.7,\N
5030,862,817,5,16,17,01:36.9,01:37.0,\N
5031,862,818,5,17,18,01:37.7,\N,\N
5032,862,5,207,20,19,01:38.5,\N,\N
5033,862,808,207,21,20,01:38.7,\N,\N
5034,862,10,206,24,21,01:39.3,\N,\N
5035,862,819,206,25,22,01:39.7,\N,\N
5036,862,37,164,22,23,01:40.4,\N,\N
5037,862,39,164,23,24,01:41.0,\N,\N
5038,863,20,9,1,1,01:34.3,01:33.5,0.001069699
5039,863,1,1,4,2,01:34.8,01:33.2,0.001070833
5040,863,17,9,2,3,01:34.0,01:33.3,0.001072188
5041,863,18,1,3,4,01:34.8,01:33.4,0.001073044
5042,863,3,131,8,5,01:34.6,01:33.2,0.001074317
5043,863,817,5,16,6,01:34.0,01:33.6,0.00107537
5044,863,154,208,10,7,01:34.0,0.001079236,0.001076481
5045,863,815,15,15,8,01:33.8,0.001084028,0.001080949
5046,863,4,6,5,9,01:34.8,0.001081053,\N
5047,863,814,10,11,10,01:36.6,0.001082292,\N
5048,863,8,208,9,11,01:34.6,0.001085521,\N
5049,863,155,15,14,12,01:34.1,0.001085718,\N
5050,863,807,10,12,13,01:34.6,01:33.8,\N
5051,863,13,6,6,14,01:34.4,01:33.9,\N
5052,863,811,3,19,15,01:34.5,01:34.0,\N
5053,863,5,207,20,16,01:34.9,01:36.1,\N
5054,863,813,3,18,17,01:34.6,\N,\N
5055,863,30,131,7,18,01:34.9,\N,\N
5056,863,818,5,17,19,01:35.0,\N,\N
5057,863,808,207,21,20,01:35.8,\N,\N
5058,863,819,206,25,21,01:37.7,\N,\N
5059,863,37,164,22,22,01:37.9,\N,\N
5060,863,10,206,24,23,01:37.9,\N,\N
5061,863,39,164,23,24,01:38.3,\N,\N
5062,864,1,1,4,1,01:22.6,01:22.5,0.000945683
5063,864,813,3,18,2,01:23.4,01:22.1,0.000952373
5064,864,4,6,5,3,01:23.3,01:22.9,0.000952569
5065,864,154,208,10,4,01:23.2,0.000956794,0.000953981
5066,864,8,208,9,5,01:23.4,0.000958981,0.000954711
5067,864,815,15,15,6,01:24.3,0.000958021,0.000955243
5068,864,3,131,8,7,01:23.4,0.000959282,0.000960706
5069,864,20,9,1,8,01:23.8,0.000959306,\N
5070,864,30,131,7,9,01:23.8,01:22.9,\N
5071,864,155,15,14,10,01:23.4,01:22.9,\N
5072,864,18,1,3,11,01:23.5,01:22.9,\N
5073,864,17,9,2,12,01:23.6,01:23.0,\N
5074,864,814,10,11,13,01:23.9,01:23.1,\N
5075,864,807,10,12,14,01:23.7,01:23.2,\N
5076,864,818,5,17,15,01:24.4,01:23.3,\N
5077,864,817,5,16,16,01:23.9,01:23.4,\N
5078,864,13,6,6,17,01:23.9,01:23.4,\N
5079,864,811,3,19,18,01:25.0,\N,\N
5080,864,808,207,21,19,01:25.3,\N,\N
5081,864,5,207,20,20,01:25.5,\N,\N
5082,864,819,206,25,21,01:26.6,\N,\N
5083,864,10,206,24,22,01:27.0,\N,\N
5084,864,37,164,22,23,01:27.6,\N,\N
5085,864,39,164,23,24,01:31.1,\N,\N
5086,865,30,131,7,1,01:15.9,0.000868773,0.000859965
5087,865,17,9,2,2,01:16.0,0.000868461,0.000860891
5088,865,3,131,8,3,01:15.9,0.00086831,0.000861667
5089,865,1,1,4,4,01:16.1,0.000869977,0.000863229
5090,865,154,208,10,5,01:15.7,01:15.2,01:14.6
5091,865,4,6,5,6,01:16.2,01:15.1,01:14.9
5092,865,13,6,6,7,01:16.0,01:14.9,01:15.0
5093,865,8,208,9,8,01:15.9,01:15.3,01:15.2
5094,865,813,3,18,9,01:16.0,01:15.0,01:15.2
