raceId,driverId,qualifyId,constructorId,Result,resultId,grid,final_race_pos,points,year,Race_round,circuitId,date,lat,lng,tempmax,tempmin,temp,dew,humidity,precip,snow,snowdepth,windspeed,winddir,cloudcover,ReachedQ2,ReachedQ3,Finished Race,SetQ1Time,Finished_Race,Q2_Millsec,Q3_Millsec,Q1_Millsec,race_time_hr,literal
860,0,4967,0,2,21232,2,1,25,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,85700,85100,86800,6,1
860,1,4971,1,6,21233,6,2,18,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86000,85700,87000,6,1
860,2,4966,0,1,21234,1,3,15,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,85600,84900,86800,6,1
860,3,4970,1,5,21235,5,4,12,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86600,85700,87100,6,1
860,4,4977,2,12,21236,12,5,10,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86500,-9999,86700,6,1
860,5,4978,3,13,21237,13,6,8,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86600,-9999,86200,6,1
860,6,4983,4,18,21238,17,7,6,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,-9999,-9999,87800,6,1
860,7,4982,3,17,21239,22,8,4,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,-9999,-9999,86600,6,1
860,8,4975,5,10,21240,10,9,2,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86300,-9999,87000,6,1
860,9,4980,6,15,21241,15,10,1,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,87100,-9999,87500,6,1
860,10,4976,5,11,21242,11,11,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86400,-9999,86500,6,1
860,11,4972,7,7,21243,7,12,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,85500,85700,86800,6,1
860,12,4973,8,8,21244,8,13,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86200,85900,86800,6,1
860,13,4986,9,21,21245,20,14,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,-9999,-9999,90900,6,1
860,14,4987,9,22,21246,21,15,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,-9999,-9999,91700,6,1
860,15,4979,8,14,21247,14,16,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,1,1,1,86700,-9999,87000,6,1
860,16,4981,2,16,21248,16,0,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,0,1,1,87500,-9999,87600,6,1
860,17,4984,10,19,21249,18,0,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,0,1,1,-9999,-9999,88700,6,1
860,18,4985,10,20,21250,19,0,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,0,1,1,-9999,-9999,89000,6,1
860,19,4969,7,4,21251,4,0,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,0,1,1,85600,85300,86600,6,1
860,20,4968,4,3,21252,3,0,0,2012,1,0,18/03/2012,-37.8497,144.968,69.5,51.3,61.3,53.5,77.1,0.004,0.0,0.0,13.8,172.4,52.8,1,1,0,1,1,85800,85300,86500,6,1
861,4,4998,2,9,21256,8,1,25,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97400,97600,98200,8,1
861,7,4999,3,10,21257,9,2,18,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97500,97700,97900,8,1
861,2,4990,0,1,21258,1,3,15,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97100,96200,97800,8,1
861,3,4993,1,4,21259,4,4,12,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97400,96500,97200,8,1
861,6,4994,4,5,21260,10,5,10,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,96700,96500,98000,8,1
861,15,5002,8,13,21261,13,6,8,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97800,-9999,98400,8,1
861,9,5003,6,14,21262,14,7,6,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97900,-9999,98300,8,1
861,10,5007,5,18,21263,18,8,4,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,-9999,-9999,99100,8,1
861,21,5005,6,16,21264,16,9,2,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97900,-9999,98300,8,1
861,19,4992,7,3,21265,3,10,1,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97000,96400,97500,8,1
861,1,4995,1,6,21266,5,11,0,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97400,96600,98100,8,1
861,8,5004,5,15,21267,15,12,0,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97900,-9999,98400,8,1
861,11,4997,7,8,21268,7,13,0,2012,2,1,25/03/2012,2.76083,101.738,89.6,77.0,80.6,76.5,87.8,0.118,0.0,0.0,16.1,331.7,88.6,1,1,1,1,1,97000,96700,97700,8,1
